rollout,sampled_transitions,trained_rollout_transitions,optimizer_steps,sb3_n_updates,learn_seconds,cycle_seconds,optimization_seconds,transitions_per_second,policy_loss,value_loss,entropy_loss,total_loss,approx_kl,explained_variance,undefined_reason
1,512,512,3,1,95.5631160030025,95.56311646199902,0.02048412499425467,5.357715601537529,0.030820227228105068,1.1970201581716537,2.5142083764076233,0.5296353101730347,0.020252762362360954,-7.185708045959473,
2,1024,1024,11,3,176.88699416700547,81.32345537200308,0.03507650000392459,6.295846599949862,0.010221379498640696,0.5987678468227386,2.5173214541541205,0.10260415077209473,0.056692492216825485,-3.704838275909424,
3,1536,1536,20,5,260.49538354000106,83.60808674799773,0.04151679200003855,6.123809548987934,-0.01074678562581539,0.24060815572738647,2.523995065689087,0.019721955060958862,0.045843273401260376,-11.732499122619629,
4,2048,2048,30,7,352.8612804180011,92.36549846100388,0.043861458005267195,5.543195333008062,-0.01155031497844241,0.16059925271706146,2.527408079667525,-0.01930292323231697,0.04178548976778984,-14.810251235961914,
