episode_id,env_index,reset_seed,global_transition,length,physics_steps,simulated_seconds,return,terminated,truncated,reason,success,max_height_m,tilt_at_max_height_deg,min_tilt_deg,max_stable_seconds,max_bilateral_weight,other_weight_at_max_height,torque_saturation_fraction,max_tracking_error_rad,raw_action_oob_fraction,action_boundary_fraction,reward_terms
1,0,745249913,662,331,6616,6.6160000000000005,53.85961165285967,True,False,success,True,0.6279346819858276,10.114300181577331,0.2442656012333677,2.000000000000421,0.649846165641486,0.0,0.006762686741818464,0.3173715938674886,0.0,0.0,"{""pose_guide"": 0.37725902118849475, ""head_track"": 1.1625360387490262, ""balance"": 1.3177233614177821, ""overload"": -0.00044371102728834114, ""self_penetration"": 0.0, ""standing"": 1.0080000000000007, ""torque_cost"": -0.005090216969161585, ""target_change"": -0.00037284049918392433, ""success"": 50.0, ""safety"": 0.0}"
2,1,101733386,662,331,6616,6.6160000000000005,53.85957007074251,True,False,success,True,0.6279346819858276,10.114300181577331,0.2442656012333677,2.000000000000421,0.649846165641486,0.0,0.006762686741818464,0.3173715938674886,0.0,0.0,"{""pose_guide"": 0.3772590262534163, ""head_track"": 1.1625384993695436, ""balance"": 1.3176797117314758, ""overload"": -0.00044371102728834114, ""self_penetration"": 0.0, ""standing"": 1.0080000000000007, ""torque_cost"": -0.005090615480683976, ""target_change"": -0.0003728401039561545, ""success"": 50.0, ""safety"": 0.0}"
3,0,617799813,1324,331,6616,6.6160000000000005,53.85953938759158,True,False,success,True,0.6279346819858276,10.114300181577331,0.2442656012333677,2.000000000000421,0.649846165641486,0.0,0.006762686741818464,0.3173715938674886,0.0,0.0,"{""pose_guide"": 0.3772590168589869, ""head_track"": 1.1625375474442703, ""balance"": 1.317649871032329, ""overload"": -0.00044371102728834114, ""self_penetration"": 0.0, ""standing"": 1.0080000000000007, ""torque_cost"": -0.005090497099998131, ""target_change"": -0.0003728396167192963, ""success"": 50.0, ""safety"": 0.0}"
4,1,773218639,1324,331,6616,6.6160000000000005,53.85954157330923,True,False,success,True,0.6279346819858276,10.114300181577331,0.2442656012333677,2.000000000000421,0.649846165641486,0.0,0.006762686741818464,0.3173715938674886,0.0,0.0,"{""pose_guide"": 0.37725901565895065, ""head_track"": 1.162537539828318, ""balance"": 1.3176521299632504, ""overload"": -0.00044371102728834114, ""self_penetration"": 0.0, ""standing"": 1.0080000000000007, ""torque_cost"": -0.0050905612491936114, ""target_change"": -0.0003728398648050444, ""success"": 50.0, ""safety"": 0.0}"
5,0,1458347535,1986,331,6616,6.6160000000000005,53.85954100329099,True,False,success,True,0.6279346819858276,10.114300181577331,0.2442656012333677,2.000000000000421,0.649846165641486,0.0,0.006762686741818464,0.3173715938674886,0.0,0.0,"{""pose_guide"": 0.3772590176481213, ""head_track"": 1.162535980795256, ""balance"": 1.3176530589497277, ""overload"": -0.00044371102728834114, ""self_penetration"": 0.0, ""standing"": 1.0080000000000007, ""torque_cost"": -0.005090503264237412, ""target_change"": -0.0003728398105855921, ""success"": 50.0, ""safety"": 0.0}"
6,1,13036930,1986,331,6616,6.6160000000000005,53.859584010989295,True,False,success,True,0.6279346819858276,10.114300181577331,0.2442656012333677,2.000000000000421,0.649846165641486,0.0,0.006762686741818464,0.3173715938674886,0.0,0.0,"{""pose_guide"": 0.37725901225105096, ""head_track"": 1.1625337826995747, ""balance"": 1.317698096510191, ""overload"": -0.00044371102728834114, ""self_penetration"": 0.0, ""standing"": 1.0080000000000007, ""torque_cost"": -0.005090328967225594, ""target_change"": -0.00037284047700564016, ""success"": 50.0, ""safety"": 0.0}"
7,0,1937454585,2648,331,6616,6.6160000000000005,53.85962066946912,True,False,success,True,0.6279346819858276,10.114300181577331,0.2442656012333677,2.000000000000421,0.649846165641486,0.0,0.006762686741818464,0.3173715938674886,0.0,0.0,"{""pose_guide"": 0.3772590274183721, ""head_track"": 1.1625368472192812, ""balance"": 1.3177318964790512, ""overload"": -0.00044371102728834114, ""self_penetration"": 0.0, ""standing"": 1.0080000000000007, ""torque_cost"": -0.005090550638573586, ""target_change"": -0.00037283998171533053, ""success"": 50.0, ""safety"": 0.0}"
8,1,2073008160,2648,331,6616,6.6160000000000005,53.85965990432633,True,False,success,True,0.6279346819858276,10.114300181577331,0.2442656012333677,2.000000000000421,0.649846165641486,0.0,0.006762686741818464,0.3173715938674886,0.0,0.0,"{""pose_guide"": 0.37725902383240895, ""head_track"": 1.1625373904816063, ""balance"": 1.3177701827411736, ""overload"": -0.00044371102728834114, ""self_penetration"": 0.0, ""standing"": 1.0080000000000007, ""torque_cost"": -0.005090141877341207, ""target_change"": -0.0003728398242292761, ""success"": 50.0, ""safety"": 0.0}"
9,0,1029775769,3310,331,6616,6.6160000000000005,53.85959196019234,True,False,success,True,0.6279346819858276,10.114300181577331,0.2442656012333677,2.000000000000421,0.649846165641486,0.0,0.006762686741818464,0.3173715938674886,0.0,0.0,"{""pose_guide"": 0.3772590187690842, ""head_track"": 1.1625365287287734, ""balance"": 1.3177034922959951, ""overload"": -0.00044371102728834114, ""self_penetration"": 0.0, ""standing"": 1.0080000000000007, ""torque_cost"": -0.005090528320287183, ""target_change"": -0.0003728402539384708, ""success"": 50.0, ""safety"": 0.0}"
10,1,1745753010,3310,331,6616,6.6160000000000005,53.859656237852676,True,False,success,True,0.6279346819858276,10.114300181577331,0.2442656012333677,2.000000000000421,0.649846165641486,0.0,0.006762686741818464,0.3173715938674886,0.0,0.0,"{""pose_guide"": 0.37725902644891995, ""head_track"": 1.162538036570156, ""balance"": 1.3177661826525187, ""overload"": -0.00044371102728834114, ""self_penetration"": 0.0, ""standing"": 1.0080000000000007, ""torque_cost"": -0.005090455287786585, ""target_change"": -0.00037284150385034947, ""success"": 50.0, ""safety"": 0.0}"
