admissible_recovery,constraint_envelope_pass,controller,floor_contact_load_N,floor_contact_load_bodyweights,floor_penetration_m,integration_floor_contact_load_N,joint_excess_duration_s,joint_excess_max_rad,max_continuous_hold_s,max_velocity_rad_s,pair,recovery_sim_s,reporting_only_error_repaired,seed,self_penetration_m,stable_margins,standing_sway,status,success,termination_reason,torque_ratio,truncation_reason,worst_joint
False,False,A_reference,2118.3670021758444,5.145525374502691,0.021274134853281945,2148.1963008359735,1.055,0.051794081287059424,0.3330000000001112,20.53151888676289,1,5.195000000000696,False,26092400,0.0030421798172032373,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,B_residual,2227.045236529565,5.40950541759666,0.022861627059432184,2227.812681284072,1.056,0.05196805123980086,0.4330000000001446,20.28872358461013,1,5.524000000000806,False,26092400,0.0030421798172032373,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,A_reference,2001.1879904934588,4.860896895418777,0.02196573733659231,2029.8645082995422,1.051,0.051323031137934905,0.0,20.214932924205737,2,3.6830000000001872,False,26092401,0.003690456114998469,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,B_residual,1981.731405402161,4.813636740693173,0.020941510151683246,2009.2628125911865,1.051,0.05261443755862394,0.0,20.259443013564244,2,3.6890000000001892,False,26092401,0.003690456114998469,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,A_reference,8709.121218457996,21.154504471211318,0.025675051856342335,8749.784609646389,1.043,0.040685791313742614,1.1900000000003974,8.31439155089236,3,20.000000000003563,False,26092402,0.003312329784184409,null,null,COMPLETE,False,,1.0,time_limit,left_ankle_pitch_joint
False,False,B_residual,7688.381902571764,18.675122926252218,0.023335063229220805,7707.84836097528,1.043,0.040685791313742614,1.0400000000003473,8.322666877780513,3,20.000000000003563,False,26092402,0.003312329784184409,null,null,COMPLETE,False,,1.0,time_limit,left_ankle_pitch_joint
False,False,A_reference,2230.4657810369954,5.417813939462569,0.02269122156576138,2231.4696460729137,1.064,0.057229015397554095,0.0,20.46776905940538,4,4.080000000000322,False,26092403,0.003444371571932552,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,B_residual,2199.4620747769595,5.342505762408837,0.022545015457049927,2200.257210353687,1.064,0.057189477900068564,0.0,20.42019156314497,4,4.109000000000331,False,26092403,0.003444371571932552,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,A_reference,2245.5467626355507,5.454445728670043,0.021488962338242462,2247.6780476565687,1.054,0.05650619027526793,0.14900000000004976,20.42912559969939,5,4.585000000000529,False,26092404,0.003081478039786702,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,B_residual,2216.806449619225,5.384635346547985,0.021993090928140266,2217.733929585689,1.054,0.05619586459853365,0.15700000000005243,20.539624698382536,5,4.685000000000563,False,26092404,0.003081478039786702,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
