index,name,status,success,reason,sim_seconds,max_stable_hold_s,feasible,constraint_envelope_pass,impact_pass,infeasible_eligible,infeasible_score,max_joint_excess_rad,any_joint_above_tolerance_s,excess_integral_rad_s,max_joint_speed_rad_s,max_velocity_ratio,max_actuation_limit_ratio,peak_ground_vertical_N,peak_ground_sum_norm_N,floor_penetration_m,self_penetration_m,actual_target_sha256,wall_seconds
0,g13-arm-contact-00,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-9.845346511843948,0.0010447124498060845,0.047000000000000035,2.89613628142042e-05,9.52998846947277,0.72814704076045,1.0,7453.613770584461,9965.573394232173,0.024759948354329847,0.0016417741649054662,c72252a4021b837cfeffad61b265cff343d9f3c7cd9344909bf2172882ace47e,13.862020132000907
1,g13-arm-contact-01,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-9.139963962262582,0.0003644446328319173,0.014000000000000005,3.913178063191914e-06,10.141844877761773,0.774896460709182,1.0,7062.20178972791,9370.19739551156,0.022935966126730642,0.002964499680659812,04f9dfa267a15a7bbed0fa580e7732922a232b76bf895f982ec4b907857f8d0d,13.982395840001118
2,g13-arm-contact-02,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-8.013953212887339,0.0018779764442961033,0.04300000000000003,4.204903664420139e-05,9.414982895852713,0.719359940086546,1.0,6353.167438994515,8113.654608370067,0.023320005280523,0.0016176497603672467,37eb9a20b1ad5b231932445c798aeeaf66021829b54b331dd973311e025ebe58,13.946931090000362
3,g13-arm-contact-03,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-12.927054879077433,0.033225675005788546,0.11000000000000008,0.001401158974234623,9.749911066624472,2.328058993940896,1.0,7652.652653563631,8652.82628339797,0.022730409572758514,0.009132140002886877,b4f75512aa765a1a300a42bc94f8ec3255d5a85779262b2b1598043125cfbfbd,13.67078996500095
4,g13-arm-contact-04,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-9.839656116283688,0.0008245696590492013,0.023000000000000013,1.3087080239017111e-05,8.362791673777176,0.6389663564927549,1.0,7523.72780397445,10132.044603417415,0.02484662073199098,0.0016596571198591453,df1e9eb71279b5b85bb9659fdd79130382cf242888b7a6b6b739b39fad6327ad,13.752356881001106
5,g13-arm-contact-05,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-9.747492866714621,0.00046625941349476285,0.016000000000000007,5.636179600411517e-06,9.640964891361588,0.7366262905991433,1.0,7004.663505129499,9233.962737174688,0.02493360430672867,0.0049396313416515585,9df87b858ad9976edd99822d636451e53f0d1e8dc511e5b21da6cd28e91ac0df,13.758498299001076
6,g13-arm-contact-06,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-8.759007063297597,0.0008069432179744762,0.03100000000000002,1.760512495536226e-05,7.141323887834523,0.545639050109606,1.0,7063.3275774666,9033.632996295131,0.02292897066023611,0.0015825156897652834,f41ec79216e97e784394451bb0802b42cf2477f9a8e3a46ced5c4832ec412be9,13.63283309000144
7,g13-arm-contact-07,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-13.698048829699,0.038224988290497364,0.8390000000000006,0.006632587965576652,10.043645639083575,2.398196188892926,1.0,7445.439081989582,8377.289524739539,0.021328393415939534,0.012172772970375355,30fc9a74ac7e3a2e1b5549e82c55994017030e052a4d908ed80f0338312f7400,13.868954382000084
8,g13-arm-contact-08,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-9.543995183448116,0.0021293938666290813,0.08300000000000006,7.72510063370403e-05,9.319946159694204,0.7120985757712565,1.0,7315.220269422254,9810.263573041955,0.0236062887993186,0.001696336610530818,ede71fe93d08d5a5aaaa5525fb8f0b3c053ffece99d987755a3dac100e1fa31e,13.700148797999645
9,g13-arm-contact-09,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-8.642292649336097,0.0005015152483185403,0.03400000000000002,1.160782371749819e-05,9.562391081731644,0.7306227904746061,1.0,6584.039552154101,8661.285852245175,0.02416664276644994,0.003522983687985195,00f72684399b98c8050e8c4f44e9727fbcacb12bc4f62f79eecd391e0afcf8fb,13.589093548000164
