index,name,status,success,reason,sim_seconds,max_stable_hold_s,feasible,constraint_envelope_pass,impact_pass,infeasible_eligible,infeasible_score,max_joint_excess_rad,any_joint_above_tolerance_s,excess_integral_rad_s,max_joint_speed_rad_s,max_velocity_ratio,max_actuation_limit_ratio,peak_ground_vertical_N,peak_ground_sum_norm_N,floor_penetration_m,self_penetration_m,actual_target_sha256,wall_seconds
0,g01-early-only-00,COMPLETE,True,success,4.858000000000584,2.000000000000668,False,False,False,True,1.0044906553462551,0.04431900993109339,1.0439999999999958,0.01150507040331608,8.021668073734102,0.6720566415661948,1.0,1568.9244336425602,1955.9501973269012,0.007876585639531957,0.0032684471725700414,57a0a3ce2132ba129d7949c4444596617b9d57b72886351d0a76f03f22176e64,6.188186962000145
1,g01-early-only-01,COMPLETE,False,safety_abort:joint_limit_rad,4.244000000000379,0.0,False,False,False,False,-10.455290811135432,0.05903386195470861,1.0409999999999962,0.011315215486214902,20.39054687370912,4.8688029784405735,1.0,2181.9877919637606,2665.4809975548396,0.022416983255166306,0.003762771503022563,17446e8d506e2b42fa4651bc367cbcc6771f668fba83316c7dba8514aaaf8930,5.148762752999573
2,g01-early-only-02,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-11.764649107315565,0.03681971149556462,0.9750000000000008,0.009827729672848114,8.153394904063637,0.6830927366005057,1.0,8755.607689532048,10583.018525395682,0.02613448091814828,0.0033579248751939143,00fe7ca6a831466985ea945a0990a66411a882fa20f725d1f9c6d4c104b58e7b,20.2017230929996
3,g01-early-only-03,COMPLETE,False,time_limit,20.000000000003563,0.6450000000002154,False,False,False,True,-11.331144224358615,0.042570086896132175,1.0579999999999943,0.011750907494084145,8.174163695795182,0.684832749312599,1.0,8702.939056255294,10488.433051964308,0.025528779696035564,0.002845954730759979,66a2a476fe88248619acabde2f958433333478a66709fdfa4ba23e8e2e26424c,21.228244509999968
4,g01-early-only-04,COMPLETE,False,safety_abort:joint_limit_rad,3.7790000000002237,0.0,False,False,False,False,-10.123068114811206,0.05798234454257001,1.0629999999999937,0.012057496239801783,20.23812953814611,4.832409154285127,1.0,2026.8724153314233,2485.370242004488,0.021836387015617617,0.0035296700899092428,e7dbd87d9ff2c2f7a7df4faa168e3bb2cf6249ee6645f5796df331a981c13c47,5.382030752999526
5,g01-early-only-05,COMPLETE,False,safety_abort:joint_limit_rad,3.924000000000272,0.0,False,False,False,False,-10.203621099655532,0.050688953055255004,1.0629999999999937,0.01222164206013774,20.399422187933943,4.870922203422623,1.0,2183.466084650987,2667.222977639539,0.021755692168421173,0.003546840356417105,288169f5103708de7d2c05239a2f1307eee725e2f47a05858182657dda42f0f1,5.431249627999932
6,g01-early-only-06,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-10.913591051185342,0.040080045533808506,1.0409999999999962,0.011134618573052767,8.135318572959484,0.681578298672879,1.0,8248.03358467994,9955.508908942926,0.023731605558221923,0.0033269824854930356,1f34864ca70b52c1efa56a2290504ea16249a6a1621bf40fa00ef9898fa2f126,20.925366510000458
7,g01-early-only-07,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-11.037262491211232,0.04280691606151832,1.0299999999999974,0.011060909010402187,8.158411282269892,0.68351300957355,1.0,8253.847840600545,9973.799092465928,0.024745361578033455,0.003079548651350697,62d247090528804f0aacc117b143c86f9fea440bc968b8726fc8aca79a338ccf,20.347882967999794
8,g01-landing-only-08,COMPLETE,True,success,4.874000000000589,2.000000000000668,False,False,True,True,1.0746597154306317,0.04516956718689835,1.0639999999999936,0.012136845671430502,8.347143742429603,0.6993250454448394,1.0,1626.3204739827688,1845.4477378972624,0.009029315944099916,0.0031814764288165204,9a8a4eb9081fea527c464c79add32716441baf8edec8ef60275e58de496a098c,6.273977335999916
9,g01-landing-only-09,COMPLETE,True,success,4.849000000000581,2.000000000000668,False,False,True,True,1.1273892685081996,0.04245464469998361,1.0629999999999937,0.012001781252583273,8.347143742429603,0.6993250454448394,1.0,1613.409870582445,1845.4477378972624,0.009041504302075409,0.0031814764288165204,9c3854782dd37c69082e0354373bcd210b981c77a72f8a6ef643c28862fa7071,6.207621419999668
