episode,seed,success,constraint_envelope_pass,admissible_recovery,sim_duration_s,maximum_stable_hold_s,max_joint_excess_rad,worst_joint,any_joint_above_standing_tolerance_s,max_joint_speed_rad_s,max_official_velocity_ratio,max_actuation_limit_ratio,max_floor_penetration_m,max_self_penetration_m,peak_ground_vertical_bodyweights,raw_return,discounted_return
1,26092460,True,False,False,4.803000000000566,2.000000000000668,0.04518521846959589,left_ankle_pitch_joint,1.064,8.347143742429603,0.6993250454448394,1.0,0.00904692154437733,0.0031814764288165204,3.9512183254629623,53.18942593134462,42.03967463933657
2,26092461,True,False,False,4.803000000000566,2.000000000000668,0.04518521846959589,left_ankle_pitch_joint,1.064,8.347143742429603,0.6993250454448394,1.0,0.00904692154437733,0.0031814764288165204,3.9512183254629623,53.18942593134462,42.03967463933657
3,26092462,True,False,False,4.803000000000566,2.000000000000668,0.04518521846959589,left_ankle_pitch_joint,1.064,8.347143742429603,0.6993250454448394,1.0,0.00904692154437733,0.0031814764288165204,3.9512183254629623,53.18942593134462,42.03967463933657
4,26092463,True,False,False,4.803000000000566,2.000000000000668,0.04518521846959589,left_ankle_pitch_joint,1.064,8.347143742429603,0.6993250454448394,1.0,0.00904692154437733,0.0031814764288165204,3.9512183254629623,53.18942593134462,42.03967463933657
5,26092464,True,False,False,4.803000000000566,2.000000000000668,0.04518521846959589,left_ankle_pitch_joint,1.064,8.347143742429603,0.6993250454448394,1.0,0.00904692154437733,0.0031814764288165204,3.9512183254629623,53.18942593134462,42.03967463933657
