time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/std,rollout/success_rate,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
512,119,1,4,,,,,,,,,,,,,,
1024,119,2,8,0.10027129203081131,1.0,0.013678552024066449,2,14.977015113830566,0.2,0.35625,0.0004360135644674301,0.761328861117363,0.008832041826099157,0.044605847,0.0001,331.0,53.859590999999995
1536,118,3,12,0.10026588290929794,1.0,97.55100876944405,4,14.976285117013115,0.2,0.31808035714285715,23.4533634185791,-0.0004096031188964844,0.0010725326303924834,0.036228634,0.0001,331.0,53.859565749999994
2048,117,4,17,0.10025245696306229,1.0,87.73061623573304,9,14.978051280975341,0.2,0.2578125,53.45582580566406,0.014240860939025879,-0.007161302049644292,0.027051713,0.0001,331.0,53.859564666666664
2560,124,5,20,0.10025030374526978,1.0,88.35849444071452,11,14.979303280512491,0.2,0.16015625,69.20978546142578,0.12860107421875,-0.009601568337529898,0.030192144,0.0001,331.0,53.859564666666664
3072,122,6,24,0.1003025621175766,1.0,0.258382529951632,15,14.975606888532639,0.2,0.3349609375,0.057428739964962006,0.8683218359947205,-0.017605377215659246,0.035854697,0.0001,331.0,53.859583625
3584,122,7,29,0.10030214488506317,1.0,76.13961625099182,20,14.968996405601501,0.2,0.28046875,45.41270065307617,0.1944536566734314,-0.010609052795916795,0.023702066,0.0001,331.0,53.859591699999996
4096,121,8,33,0.10029556602239609,1.0,72.84858097749598,23,14.971239538753734,0.2,0.2113970588235294,39.80621337890625,0.2611722946166992,-0.012602640754159759,0.049733855,0.0001,331.0,53.859592666666664
