rollout,sampled_transitions,cumulative_model_timesteps,trained_rollout_transitions,optimizer_steps,cumulative_adam_steps,sb3_n_updates,learn_seconds,cycle_seconds,optimization_seconds,transitions_per_second,policy_loss,value_loss,entropy_loss,total_loss,approx_kl,clip_fraction,policy_std_mean,noise_weight_std_mean,action_distribution_std_min,action_distribution_std_median,action_distribution_std_max,action_distribution_observations,explained_variance,undefined_reason
1,512,512,512,9,9,2,4.304382543999964,4.304382752001402,0.020560417000524467,118.94852978907049,0.008832041826099157,0.013678552024066449,14.977015113830566,0.0004360135644674301,0.04460584744811058,0.35625,0.10027129203081131,0.10027129203081131,0.10020491480827332,0.10027352720499039,0.10033799707889557,32,0.761328861117363,
2,1024,1024,1024,22,22,4,8.594070962000842,4.28901075199974,0.02752916700046626,119.37484646343714,0.0010725326303924834,97.55100876944405,14.976285117013115,23.4533634185791,0.03622863441705704,0.31808035714285715,0.10026588290929794,0.10026588290929794,0.1001565009355545,0.10027825832366943,0.10037123411893845,32,-0.0004096031188964844,
3,1536,1536,1536,62,62,9,12.988007298001321,4.393268334999448,0.07547812499979045,116.54193665365182,-0.007161302049644292,87.73061623573304,14.978051280975341,53.45582580566406,0.027051713317632675,0.2578125,0.10025245696306229,0.10025245696306229,0.10004418343305588,0.10025722533464432,0.10042916238307953,32,0.014240860939025879,
4,2048,2048,2048,73,73,11,17.431026507998467,4.442503127000236,0.022986415999184828,115.25034093689514,-0.009601568337529898,88.35849444071452,14.979303280512491,69.20978546142578,0.030192144215106964,0.16015625,0.10025030374526978,0.10025030374526978,0.10000273585319519,0.10026145726442337,0.10046065598726273,32,0.12860107421875,
5,2560,2560,2560,104,104,15,20.65085463500145,3.2192607929973747,0.060808457998064114,159.042722203096,-0.017605377215659246,0.258382529951632,14.975606888532639,0.057428739964962006,0.03585469722747803,0.3349609375,0.1003025621175766,0.1003025621175766,0.1000455692410469,0.10031943768262863,0.10066327452659607,32,0.8683218359947205,
6,3072,3072,3072,144,144,20,25.064947470000334,4.413582001998293,0.07864845899894135,116.00554827534346,-0.010609052795916795,76.13961625099182,14.968996405601501,45.41270065307617,0.023702066391706467,0.28046875,0.10030214488506317,0.10030214488506317,0.10004223138093948,0.10028863698244095,0.10076212882995605,32,0.1944536566734314,
7,3584,3584,3584,160,160,23,29.36528551399897,4.2994780850021925,0.03200029100116808,119.08422135840213,-0.012602640754159759,72.84858097749598,14.971239538753734,39.80621337890625,0.049733854830265045,0.2113970588235294,0.10029556602239609,0.10029556602239609,0.10005947947502136,0.10027556121349335,0.10080216079950333,32,0.2611722946166992,
8,4096,4096,4096,174,174,25,33.6683825580003,4.302588835998904,0.030081582997809164,118.99812404015879,-0.019134629393617313,72.78698298136393,14.971674156188964,18.323015213012695,0.030578166246414185,0.19166666666666668,0.10029719769954681,0.10029719769954681,0.1000315472483635,0.10027864575386047,0.10081776231527328,32,0.2286089062690735,
