index,name,status,success,reason,sim_seconds,max_stable_hold_s,feasible,constraint_envelope_pass,impact_pass,infeasible_eligible,infeasible_score,max_joint_excess_rad,any_joint_above_tolerance_s,excess_integral_rad_s,max_joint_speed_rad_s,max_velocity_ratio,max_actuation_limit_ratio,peak_ground_vertical_N,peak_ground_sum_norm_N,floor_penetration_m,self_penetration_m,actual_target_sha256,wall_seconds
0,waist-kd-published-reference-x1,COMPLETE,True,success,4.887000000000594,2.000000000000668,False,False,True,True,1.0749265088219584,0.04518521846959589,1.0639999999999936,0.012134843548012591,8.347143742429603,0.6993250454448394,1.0,1626.681419263664,1845.4477378972624,0.00904692154437733,0.0031814764288165204,e7c3e03d1e1a08ae447bcb5fb3a4e9b2f5e53d4112ebb775ae523415eb3b6f9f,4.134906294000757
1,waist-kd-published-reference-x1.5,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-10.1208732004928,0.03403693491733378,1.1759999999999813,0.010451901831066666,8.962824880797033,0.6848124144863259,1.0,7354.918617170773,9225.843929458963,0.02407879620665062,0.003712610199890215,326c1eecf408f8fd87eedbb2ab224bf9634853076c410428e4b44dcd2047b57b,13.792930797999361
2,waist-kd-published-reference-x2,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-13.764677217560653,0.036259891828430646,0.9620000000000007,0.00964345919228248,7.742382831817349,0.6486580790731693,1.0,10044.795670196814,12187.435563260264,0.02703392333366346,0.0039961362379210075,326c1eecf408f8fd87eedbb2ab224bf9634853076c410428e4b44dcd2047b57b,13.860429923999618
3,waist-kd-published-reference-x3,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-11.83646038450322,0.03943054774497967,0.9480000000000007,0.010604990549302602,7.5153751349802125,0.6296393377161706,1.0,8205.217847456872,10333.198557931046,0.025530739835641872,0.004941849668261751,326c1eecf408f8fd87eedbb2ab224bf9634853076c410428e4b44dcd2047b57b,13.942826299000444
4,waist-kd-published-reference-x4,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-10.999547155020172,0.03795232991957043,0.9290000000000007,0.010740729662381404,10.698724499267236,0.8174453315454796,1.0,7194.14367038734,9261.99848091516,0.0237232038164695,0.005923006580141621,326c1eecf408f8fd87eedbb2ab224bf9634853076c410428e4b44dcd2047b57b,14.081609422999463
5,waist-kd-published-reference-x6,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-11.364126352355125,0.03696235270520759,0.9260000000000007,0.011037034921492609,10.535104789046452,0.8049438255689526,1.0,7558.189913596147,9582.089274462232,0.023593561080964,0.005980374096284689,326c1eecf408f8fd87eedbb2ab224bf9634853076c410428e4b44dcd2047b57b,14.125391048999518
6,waist-kd-g01-26-reference-x1,COMPLETE,True,success,4.784000000000559,2.000000000000668,False,False,True,True,1.142447996784036,0.04139486271965542,1.0539999999999947,0.011588997756761279,8.163269813772693,0.6839200581243878,1.0,1495.4588893955233,1824.2198814231701,0.00819988987813505,0.002945397848882655,a99a1677edbd8e0ea29bce6a7e69237ef9f82079ea333f483e64e413c5853229,3.7738207099991996
7,waist-kd-g01-26-reference-x1.5,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-10.128502948839047,0.0350451235648484,1.1389999999999854,0.00977886778068602,8.250628219815049,0.6579335274738062,1.0,7642.844448880774,9295.031293731803,0.023565925232914196,0.0034049384336390424,222b142b3383fe2d691da5f2d5937cd7371fcf2256990000a80f28d7212c314f,13.832755632000044
8,waist-kd-g01-26-reference-x2,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-13.408585499129753,0.036901289632391254,0.9510000000000007,0.00971309034766267,7.920244847094908,0.6635593873236351,1.0,9841.951073253444,12091.674419041816,0.02589972117949496,0.0037780624614852485,222b142b3383fe2d691da5f2d5937cd7371fcf2256990000a80f28d7212c314f,13.701199589999305
9,waist-kd-g01-26-reference-x3,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-11.917824560332454,0.03863980801571543,0.9400000000000007,0.010180409597033663,7.74807129346728,0.6491346593052346,1.0,8265.05410960619,10209.181829193334,0.025569635255198016,0.005336666728785428,222b142b3383fe2d691da5f2d5937cd7371fcf2256990000a80f28d7212c314f,13.803516339999987
10,waist-kd-g01-26-reference-x4,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-10.720447266173682,0.036051474975773656,0.9280000000000007,0.010504533378414688,10.671117578756883,0.8153360008218891,1.0,7190.303779716296,9087.417444106208,0.023877538871836287,0.005420560059994301,222b142b3383fe2d691da5f2d5937cd7371fcf2256990000a80f28d7212c314f,13.92935729799865
11,waist-kd-g01-26-reference-x6,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-10.965576939978941,0.03628784817282077,0.9260000000000007,0.01090074306094599,10.622622942527189,0.8116307260488378,1.0,7367.799933877134,9286.673115326828,0.023912149256002116,0.005491595403367096,222b142b3383fe2d691da5f2d5937cd7371fcf2256990000a80f28d7212c314f,13.944751382001414
12,waist-kd-g04-20-reference-x1,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-11.525352818162034,0.0035716037241139142,0.07300000000000005,0.00012426640859802715,6.846946241422315,0.5231468705243212,1.0,9284.490608184886,11268.32717769065,0.024408004959143595,0.0017927924786322067,4ae245c52b601f4cc3246ff97a028315e464d8e1bde838e8828f31358f2c40eb,13.539858090000052
13,waist-kd-g04-20-reference-x1.5,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-8.685692675061178,0.004158436353939643,0.04900000000000004,0.0001268155997072642,6.892332185494703,0.5266146229748399,1.0,6940.304919857992,8939.405261804653,0.022795515249138636,0.001782882173947221,4ae245c52b601f4cc3246ff97a028315e464d8e1bde838e8828f31358f2c40eb,13.827611715001694
14,waist-kd-g04-20-reference-x2,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,True,-9.024278868610697,0.00398964696805143,0.058000000000000045,0.00012128730330613271,3.9555196434975395,0.32671633912418874,1.0,7637.348796105768,8806.830323214588,0.022557801695759966,0.0017799076535571486,4ae245c52b601f4cc3246ff97a028315e464d8e1bde838e8828f31358f2c40eb,13.860544756998934
15,waist-kd-g04-20-reference-x3,COMPLETE,False,time_limit,20.000000000003563,0.0,False,False,False,False,-8.513317052431766,0.004072818358522523,0.11400000000000009,0.00022253828558808266,3.7636301767445355,0.2875634303747353,1.0,7422.690086063189,8356.628618413055,0.02125070062977316,0.001781754806775386,4ae245c52b601f4cc3246ff97a028315e464d8e1bde838e8828f31358f2c40eb,13.939156380998611
